iter	Passed	Remaining
213	10202	37473
214	10235	37373
215	10270	37278
216	10303	37178
217	10337	37084
218	10371	36987
219	10408	36901
220	10441	36803
221	10471	36697
222	10503	36595
223	10537	36503
224	10569	36407
225	10601	36309
226	10634	36215
227	10667	36118
228	10698	36021
229	10730	35924
230	10760	35820
231	10790	35718
232	10820	35620
233	10850	35520
234	10880	35421
235	10912	35326
236	10942	35226
237	10974	35135
238	11017	35080
239	11063	35033
240	11111	34992
241	11156	34946
242	11203	34901
243	11251	34862
244	11296	34810
245	11342	34765
246	11396	34743
247	11462	34757
248	11519	34743
249	11575	34727
250	11635	34721
251	11691	34702
252	11750	34695
253	11812	34693
254	11858	34646
255	11909	34613
256	11969	34604
257	12029	34597
258	12087	34581
259	12151	34583
260	12211	34575
261	12262	34540
262	12321	34527
263	12372	34492
264	12418	34444
265	12466	34399
266	12514	34357
267	12582	34366
268	12647	34369
269	12705	34351
270	12757	34317
271	12817	34306
272	12871	34277
273	12925	34247
274	12970	34194
275	13014	34138
276	13057	34081
277	13103	34031
278	13146	33973
279	13188	33913
280	13231	33856
281	13275	33801
282	13318	33743
283	13363	33689
284	13406	33633
285	13450	33578
286	13493	33523
287	13536	33465
288	13581	33413
289	13625	33358
290	13678	33326
291	13722	33272
292	13767	33219
293	13814	33172
294	13861	33126
295	13911	33086
296	13954	33031
297	13990	32957
298	14019	32867
299	14050	32785
300	14081	32701
301	14112	32617
302	14141	32530
303	14173	32450
304	14204	32366
305	14234	32282
306	14264	32200
307	14297	32123
308	14329	32045
309	14360	31963
310	14392	31884
311	14423	31805
312	14454	31725
313	14484	31643
314	14515	31565
315	14545	31484
316	14577	31408
317	14610	31334
318	14642	31259
319	14673	31181
320	14704	31103
321	14735	31027
322	14767	30953
323	14798	30876
324	14829	30798
325	14860	30724
326	14893	30652
327	14925	30578
328	14956	30503
329	14995	30445
330	15033	30384
331	15068	30319
332	15104	30254
333	15142	30195
334	15179	30132
335	15213	30064
336	15243	29990
337	15275	29917
338	15307	29846
339	15337	29772
340	15367	29698
341	15398	29627
342	15427	29551
343	15458	29478
344	15489	29408
345	15520	29336
346	15552	29268
347	15588	29206
348	15631	29157
349	15673	29107
350	15716	29059
351	15759	29011
352	15808	28974
353	15852	28929
354	15896	28881
355	15938	28832
356	15982	28787
357	16027	28741
358	16070	28693
359	16113	28646
360	16155	28595
361	16198	28548
362	16245	28508
363	16291	28464
364	16335	28419
365	16381	28376
366	16428	28335
367	16473	28291
368	16518	28246
369	16563	28202
370	16607	28155
371	16649	28107
372	16693	28060
373	16739	28019
374	16785	27975
375	16830	27931
376	16876	27888
377	16917	27837
378	16962	27792
379	17004	27744
380	17048	27698
381	17079	27631
382	17110	27563
383	17139	27495
384	17170	27428
385	17200	27360
386	17231	27294
387	17261	27227
388	17293	27163
389	17319	27089
390	17349	27022
391	17380	26957
392	17412	26893
393	17443	26829
394	17474	26764
395	17504	26698
396	17536	26636
397	17570	26576
398	17605	26518
399	17642	26463
400	17679	26409
401	17717	26356
402	17769	26323
403	17811	26275
404	17848	26222
405	17879	26158
406	17909	26093
407	17964	26066
408	18001	26011
409	18033	25951
410	18064	25888
411	18095	25826
412	18126	25762
413	18156	25700
414	18186	25636
415	18216	25573
416	18247	25511
417	18278	25450
418	18308	25386
419	18338	25325
420	18369	25264
421	18400	25203
422	18433	25144
423	18464	25083
424	18495	25023
425	18535	24974
426	18579	24932
427	18622	24887
428	18665	24844
429	18709	24800
430	18751	24755
431	18797	24715
432	18850	24684
433	18897	24644
434	18942	24603
435	18987	24561
436	19034	24522
437	19080	24481
438	19132	24449
439	19186	24418
440	19231	24377
441	19295	24359
442	19342	24320
443	19391	24282
444	19435	24239
445	19482	24199
446	19529	24160
447	19574	24118
448	19619	24076
449	19665	24035
450	19718	24002
451	19765	23963
452	19815	23927
453	19873	23901
454	19924	23865
455	19969	23822
456	20015	23782
457	20064	23744
458	20110	23703
459	20156	23662
460	20198	23616
461	20237	23566
462	20271	23511
463	20307	23458
464	20346	23409
465	20387	23362
466	20420	23306
467	20456	23253
468	20491	23200
469	20528	23149
470	20578	23112
471	20611	23057
472	20648	23005
473	20689	22959
474	20732	22914
475	20767	22861
476	20802	22808
477	20837	22755
478	20874	22704
479	20905	22647
480	20944	22598
481	20985	22553
482	21030	22510
483	21065	22458
484	21102	22407
485	21137	22355
486	21172	22302
487	21207	22250
488	21242	22198
489	21278	22146
490	21312	22094
491	21348	22042
492	21389	21997
493	21440	21961
494	21481	21915
495	21524	21871
496	21563	21824
497	21610	21784
498	21655	21742
499	21701	21701
500	21746	21659
501	21792	21619
502	21839	21578
503	21899	21551
504	21945	21510
505	21993	21471
506	22040	21432
507	22085	21389
508	22130	21347
509	22175	21305
510	22220	21264
511	22278	21234
512	22324	21193
513	22369	21150
514	22417	21111
515	22462	21069
516	22509	21029
517	22556	20988
518	22603	20948
519	22653	20911
520	22707	20876
521	22757	20839
522	22809	20802
523	22873	20777
524	22939	20754
525	22996	20722
526	23050	20688
527	23094	20644
528	23138	20601
529	23181	20557
530	23223	20512
531	23266	20467
532	23314	20427
533	23357	20383
534	23400	20338
535	23443	20294
536	23486	20249
537	23530	20206
538	23573	20161
539	23616	20117
540	23661	20075
541	23713	20038
542	23760	19997
543	23807	19956
544	23858	19918
545	23905	19877
546	23954	19837
547	23999	19795
548	24050	19757
549	24107	19724
550	24166	19692
551	24227	19662
552	24288	19633
553	24343	19597
554	24390	19556
555	24438	19515
556	24571	19542
557	24643	19520
558	24713	19496
559	24770	19462
560	24819	19422
561	24875	19386
562	24934	19354
563	24996	19323
564	25047	19284
565	25096	19243
566	25148	19204
567	25206	19170
568	25271	19142
569	25329	19107
570	25374	19064
571	25422	19022
572	25474	18983
573	25529	18946
574	25575	18903
575	25620	18859
576	25666	18816
577	25712	18772
578	25755	18727
579	25798	18681
580	25843	18637
581	25885	18591
582	25929	18546
583	25976	18503
584	26019	18458
585	26061	18411
586	26105	18367
587	26147	18320
588	26189	18274
589	26223	18223
590	26254	18169
591	26286	18116
592	26316	18061
593	26345	18007
594	26375	17953
595	26405	17898
596	26436	17845
597	26467	17792
598	26498	17739
599	26528	17685
600	26558	17632
601	26588	17578
602	26618	17524
603	26647	17470
604	26679	17418
605	26709	17365
606	26740	17313
607	26775	17262
608	26813	17215
609	26851	17167
610	26889	17119
611	26927	17071
612	26962	17022
613	26994	16970
614	27024	16917
615	27055	16865
616	27085	16813
617	27116	16761
618	27146	16708
619	27176	16656
620	27233	16620
621	27266	16570
622	27296	16518
623	27325	16465
624	27354	16412
625	27383	16360
626	27439	16323
627	27473	16273
628	27504	16222
629	27535	16171
630	27566	16120
631	27599	16070
632	27630	16019
633	27662	15968
634	27704	15924
635	27748	15881
636	27791	15837
637	27838	15795
638	27884	15753
639	27929	15710
640	27977	15669
641	28023	15627
642	28069	15584
643	28114	15541
644	28159	15498
645	28205	15456
646	28252	15414
647	28297	15371
648	28349	15332
649	28392	15288
650	28434	15243
651	28478	15200
652	28521	15156
653	28565	15112
654	28608	15068
655	28650	15024
656	28692	14979
657	28734	14934
658	28776	14890
659	28819	14846
660	28861	14801
661	28905	14758
662	28947	14713
663	28991	14670
664	29034	14626
665	29076	14582
666	29119	14537
667	29153	14489
668	29184	14439
669	29212	14388
670	29254	14343
671	29284	14293
672	29316	14244
673	29351	14196
674	29385	14148
675	29422	14101
676	29458	14054
677	29496	14008
678	29531	13961
679	29562	13911
680	29595	13863
681	29626	13813
682	29658	13765
683	29690	13716
684	29721	13667
685	29752	13618
686	29784	13569
687	29819	13522
688	29850	13473
689	29880	13424
690	29910	13375
691	29941	13326
692	29973	13278
693	30003	13229
694	30033	13180
695	30063	13131
696	30092	13081
697	30123	13033
698	30154	12984
699	30183	12935
700	30215	12887
701	30245	12839
702	30275	12790
703	30305	12742
704	30336	12693
705	30367	12645
706	30402	12599
707	30434	12552
708	30468	12505
709	30499	12457
710	30531	12410
711	30567	12364
712	30604	12318
713	30648	12276
714	30684	12230
715	30721	12185
716	30762	12141
717	30806	12099
718	30849	12056
719	30892	12013
720	30935	11970
721	30979	11928
722	31022	11885
723	31065	11842
724	31108	11799
725	31151	11756
726	31194	11714
727	31239	11671
728	31282	11628
729	31326	11586
730	31370	11543
731	31415	11501
732	31458	11459
733	31501	11416
734	31543	11372
735	31586	11329
736	31629	11287
737	31674	11244
738	31720	11202
739	31763	11160
740	31822	11122
741	31867	11080
742	31912	11038
743	31961	10997
744	32006	10955
745	32052	10913
746	32097	10871
747	32140	10828
748	32185	10785
749	32229	10743
750	32259	10695
751	32290	10649
752	32320	10601
753	32349	10554
754	32379	10507
755	32408	10459
756	32438	10412
757	32470	10366
758	32500	10319
759	32531	10273
760	32569	10228
761	32600	10182
762	32630	10135
763	32661	10089
764	32690	10042
765	32720	9995
766	32751	9949
767	32782	9902
768	32813	9856
769	32845	9811
770	32877	9765
771	32908	9719
772	32938	9672
773	32969	9626
774	33000	9580
775	33031	9534
776	33060	9488
777	33107	9447
778	33146	9403
779	33180	9358
780	33218	9314
781	33256	9270
782	33292	9226
783	33327	9182
784	33361	9137
785	33391	9091
786	33421	9045
787	33451	8999
788	33480	8953
789	33511	8908
790	33563	8868
791	33631	8832
792	33698	8796
793	33762	8759
794	33820	8721
795	33866	8679
796	33921	8640
797	33971	8599
798	34016	8557
799	34058	8514
800	34101	8472
801	34144	8429
802	34187	8387
803	34230	8344
804	34272	8301
805	34316	8259
806	34361	8217
807	34410	8176
808	34457	8135
809	34503	8093
810	34548	8051
811	34593	8009
812	34637	7967
813	34683	7925
814	34726	7882
815	34770	7840
816	34812	7797
817	34854	7754
818	34896	7712
819	34938	7669
820	34981	7626
821	35023	7584
822	35066	7541
823	35109	7499
824	35152	7456
825	35194	7413
826	35236	7371
827	35280	7328
828	35314	7284
829	35344	7239
830	35373	7193
831	35402	7148
832	35433	7103
833	35462	7058
834	35492	7013
835	35520	6968
836	35549	6922
837	35578	6877
838	35607	6832
839	35636	6787
840	35666	6743
841	35700	6699
842	35737	6655
843	35776	6612
844	35815	6569
845	35854	6526
846	35888	6482
847	35924	6439
848	35957	6395
849	35986	6350
850	36016	6306
851	36048	6261
852	36079	6217
853	36110	6173
854	36142	6129
855	36173	6085
856	36204	6041
857	36234	5996
858	36265	5952
859	36295	5908
860	36324	5864
861	36353	5819
862	36383	5775
863	36415	5732
864	36446	5688
865	36478	5644
866	36509	5600
867	36542	5557
868	36572	5513
869	36603	5469
870	36633	5425
871	36663	5381
872	36694	5338
873	36726	5294
874	36763	5251
875	36807	5210
876	36851	5168
877	36893	5126
878	36940	5085
879	36989	5043
880	37034	5002
881	37080	4960
882	37126	4919
883	37172	4877
884	37217	4836
885	37262	4794
886	37305	4752
887	37349	4710
888	37392	4668
889	37438	4627
890	37480	4585
891	37524	4543
892	37567	4501
893	37611	4459
894	37656	4417
895	37699	4375
896	37742	4333
897	37787	4292
898	37831	4250
899	37874	4208
900	37919	4166
901	37963	4124
902	38005	4082
903	38049	4040
904	38092	3998
905	38134	3956
906	38179	3914
907	38219	3872
908	38250	3829
909	38285	3786
910	38321	3743
911	38353	3700
912	38386	3657
913	38422	3615
914	38456	3572
915	38486	3529
916	38517	3486
917	38548	3443
918	38580	3400
919	38610	3357
920	38641	3314
921	38672	3271
922	38701	3228
923	38732	3185
924	38766	3143
925	38797	3100
926	38828	3057
927	38858	3014
928	38890	2972
929	38922	2929
930	38952	2886
931	38985	2844
932	39020	2802
933	39055	2759
934	39089	2717
935	39120	2674
936	39149	2632
937	39180	2589
938	39212	2547
939	39243	2504
940	39274	2462
941	39305	2420
942	39335	2377
943	39365	2335
944	39395	2292
945	39427	2250
946	39460	2208
947	39498	2166
948	39537	2124
949	39577	2083
950	39621	2041
951	39659	1999
952	39697	1957
953	39736	1916
954	39779	1874
955	39812	1832
956	39855	1790
957	39899	1749
958	39941	1707
959	39985	1666
960	40031	1624
961	40072	1582
962	40115	1541
963	40159	1499
964	40203	1458
965	40245	1416
966	40288	1374
967	40331	1333
968	40373	1291
969	40418	1250
970	40473	1208
971	40542	1167
972	40594	1126
973	40637	1084
974	40705	1043
975	40765	1002
976	40832	961
977	40885	919
978	40934	878
979	40980	836
980	41025	794
981	41073	752
982	41117	711
983	41160	669
984	41203	627
985	41247	585
986	41301	543
987	41350	502
988	41416	460
989	41464	418
990	41509	376
991	41554	335
992	41598	293
993	41641	251
994	41684	209
995	41731	167
996	41783	125
997	41828	83
998	41874	41
999	41922	0
