iter	RMSE
396	5409.294087
397	5402.963698
398	5388.073957
399	5385.670534
400	5376.949647
401	5371.87153
402	5365.82257
403	5364.504399
404	5361.492088
405	5359.960225
406	5354.470218
407	5353.336997
408	5349.609033
409	5342.400921
410	5336.904406
411	5329.811217
412	5327.400748
413	5310.048689
414	5291.207507
415	5285.023764
416	5281.647772
417	5280.484083
418	5272.433596
419	5266.274864
420	5250.612107
421	5248.724764
422	5246.209173
423	5242.619876
424	5239.707565
425	5233.956245
426	5226.126821
427	5222.987566
428	5213.009264
429	5211.798876
430	5211.097901
431	5208.482125
432	5204.546635
433	5199.084022
434	5198.225512
435	5190.360134
436	5186.522333
437	5180.21751
438	5177.050345
439	5169.541121
440	5166.373735
441	5166.069673
442	5154.840589
443	5149.70686
444	5145.298654
445	5139.794157
446	5130.406724
447	5129.13561
448	5121.262065
449	5117.15772
450	5116.023296
451	5104.171045
452	5100.150603
453	5097.862452
454	5089.093237
455	5084.44815
456	5082.934546
457	5076.349216
458	5066.160445
459	5054.317966
460	5050.396059
461	5048.585488
462	5032.498516
463	5029.326179
464	5022.919172
465	5022.427625
466	5010.995989
467	5006.360748
468	5003.675544
469	5001.253297
470	4999.466753
471	4994.605591
472	4992.581778
473	4985.15204
474	4979.142132
475	4978.283929
476	4968.559685
477	4942.116379
478	4939.175839
479	4938.831172
480	4938.109347
481	4935.623235
482	4932.709144
483	4927.102663
484	4921.65082
485	4919.954546
486	4911.055501
487	4908.707119
488	4893.842875
489	4886.210528
490	4875.173179
491	4873.165264
492	4867.619507
493	4862.030163
494	4859.16397
495	4853.541553
496	4847.734051
497	4845.078369
498	4843.005754
499	4837.403927
500	4834.523593
501	4832.721486
502	4831.182473
503	4827.925886
504	4823.698718
505	4817.645052
506	4814.300943
507	4811.377443
508	4808.726648
509	4807.176089
510	4805.063049
511	4801.949379
512	4794.87468
513	4792.647879
514	4788.854975
515	4780.566265
516	4778.278338
517	4777.150993
518	4771.063259
519	4762.020819
520	4754.695617
521	4750.352433
522	4743.511926
523	4740.550403
524	4739.041434
525	4734.842549
526	4730.097642
527	4728.331545
528	4706.879182
529	4703.950885
530	4702.200915
531	4701.187337
532	4698.822894
533	4698.256523
534	4692.623705
535	4690.09318
536	4688.114348
537	4686.827339
538	4682.244459
539	4673.290095
540	4669.955337
541	4667.712929
542	4666.064452
543	4663.128265
544	4653.017305
545	4650.059624
546	4648.183704
547	4646.876681
548	4645.338665
549	4642.953956
550	4641.938379
551	4634.811963
552	4631.229308
553	4625.414095
554	4622.182395
555	4615.212728
556	4610.898427
557	4605.775364
558	4600.823925
559	4596.608398
560	4591.22884
561	4589.645912
562	4587.662478
563	4586.121771
564	4580.654261
565	4579.687038
566	4568.45529
567	4565.373071
568	4564.746106
569	4558.134096
570	4554.696037
571	4551.901979
572	4551.174074
573	4548.426113
574	4546.011368
575	4535.315138
576	4527.82415
577	4525.805743
578	4523.532597
579	4520.829497
580	4516.063714
581	4514.546424
582	4503.10581
583	4502.310111
584	4498.475379
585	4496.526335
586	4486.444809
587	4478.710507
588	4473.141329
589	4471.596776
590	4468.764945
591	4460.540097
592	4454.855814
593	4452.380749
594	4448.821739
595	4446.616317
596	4442.302806
597	4425.968349
598	4422.022514
599	4417.231453
600	4414.173497
601	4406.522948
602	4402.742344
603	4395.826985
604	4393.933874
605	4387.058482
606	4384.584799
607	4380.954077
608	4379.642302
609	4375.9631
610	4375.306054
611	4369.635065
612	4365.367593
613	4362.859738
614	4358.109398
615	4353.172167
616	4344.582331
617	4342.394322
618	4336.507416
619	4333.376597
620	4329.263457
621	4325.022673
622	4320.916399
623	4318.483731
624	4314.341641
625	4309.207899
626	4305.509285
627	4293.471862
628	4289.640308
629	4287.269479
630	4285.798169
631	4279.371317
632	4274.584112
633	4270.298301
634	4266.569924
635	4262.761085
636	4257.255585
637	4253.33999
638	4252.087411
639	4247.781781
640	4246.943473
641	4245.876018
642	4239.916034
643	4234.564891
644	4232.649475
645	4230.252089
646	4228.403242
647	4224.638714
648	4220.654148
649	4218.581196
650	4216.105097
651	4213.336772
652	4210.088833
653	4206.872217
654	4201.589912
655	4197.792538
656	4196.323955
657	4191.512489
658	4190.804683
659	4187.300268
660	4184.865286
661	4182.763651
662	4181.966475
663	4180.409469
664	4176.52597
665	4174.241659
666	4172.371445
667	4161.298947
668	4160.825886
669	4156.931524
670	4155.185263
671	4152.418036
672	4150.346565
673	4142.150446
674	4142.031748
675	4137.492092
676	4137.240133
677	4134.594821
678	4131.670876
679	4130.60047
680	4124.894167
681	4121.406025
682	4117.567657
683	4108.02627
684	4107.68406
685	4105.736675
686	4098.345495
687	4096.536981
688	4096.085723
689	4095.503654
690	4093.382053
691	4092.219382
692	4088.805422
693	4080.643496
694	4080.416514
695	4080.160102
696	4075.070782
697	4072.280499
698	4066.956101
699	4065.150278
700	4060.738017
701	4053.548679
702	4053.148784
703	4052.653113
704	4052.433807
705	4047.340927
706	4044.278182
707	4038.020519
708	4036.58622
709	4033.905978
710	4032.530963
711	4029.008635
712	4026.598827
713	4026.389617
714	4025.843129
715	4025.111644
716	4022.591853
717	4020.511109
718	4019.002172
719	4016.516125
720	4010.347981
721	4008.662058
722	4005.909307
723	4000.885824
724	3996.658666
725	3995.676286
726	3993.139929
727	3980.864538
728	3976.607528
729	3975.048472
730	3971.089061
731	3969.759158
732	3965.611945
733	3962.675005
734	3953.572223
735	3952.660039
736	3948.667801
737	3946.754655
738	3929.53691
739	3925.145084
740	3923.07961
741	3918.238843
742	3915.403043
743	3915.072305
744	3908.640045
745	3908.570913
746	3907.550347
747	3901.597659
748	3891.229461
749	3886.034259
750	3881.914115
751	3879.945937
752	3878.69179
753	3878.092803
754	3875.181314
755	3872.445784
756	3866.963745
757	3865.720632
758	3864.737261
759	3864.448969
760	3863.55362
761	3862.485739
762	3859.007314
763	3856.353141
764	3855.071124
765	3851.15293
766	3848.575212
767	3846.938167
768	3842.992391
769	3842.023107
770	3836.371746
771	3819.355151
772	3817.241411
773	3811.616323
774	3810.762108
775	3807.315571
776	3806.41126
777	3805.909336
778	3804.522512
779	3802.959005
780	3796.039572
781	3792.424982
782	3788.942113
783	3784.312286
784	3781.579343
785	3774.535496
786	3772.708721
787	3771.099018
788	3767.719368
789	3767.56051
790	3765.469121
791	3765.287117
792	3761.683422
793	3760.666827
794	3759.553137
795	3756.619465
796	3756.171386
797	3755.437419
798	3751.795181
799	3744.6279
800	3743.092573
801	3738.510458
802	3734.196376
803	3731.42397
804	3729.543906
805	3727.781033
806	3726.393738
807	3724.214686
808	3721.797426
809	3720.624583
810	3720.124667
811	3715.068045
812	3709.336049
813	3707.972466
814	3707.35052
815	3706.919892
816	3703.808178
817	3699.080121
818	3695.257241
819	3692.889379
820	3691.163541
821	3689.460633
822	3686.513561
823	3683.232549
824	3679.870382
825	3678.01577
826	3677.147965
827	3673.277806
828	3672.355015
829	3669.2355
830	3667.867327
831	3664.298496
832	3659.38406
833	3657.962117
834	3657.407269
835	3652.156845
836	3649.147064
837	3645.571602
838	3641.535118
839	3637.786125
840	3635.812948
841	3633.920501
842	3630.157088
843	3629.347708
844	3628.408582
845	3623.305309
846	3622.044649
847	3618.681288
848	3617.95844
849	3617.59324
850	3613.991451
851	3613.060439
852	3612.51198
853	3611.272211
854	3610.287263
855	3603.435176
856	3601.603343
857	3599.352663
858	3597.786971
859	3591.468471
860	3590.995937
861	3587.906819
862	3585.183261
863	3583.411373
864	3582.0764
865	3578.527974
866	3576.068458
867	3575.089004
868	3574.001509
869	3573.075318
870	3572.289814
871	3571.819868
872	3570.330029
873	3566.152323
874	3565.741906
875	3560.170656
876	3559.08224
877	3556.361167
878	3551.481891
879	3546.494416
880	3545.977898
881	3541.424332
882	3540.376061
883	3536.198104
884	3533.863443
885	3532.602204
886	3532.046593
887	3529.333476
888	3528.815615
889	3525.906668
890	3525.067157
891	3522.379266
892	3521.743624
893	3519.854002
894	3518.65229
895	3516.71816
896	3516.003127
897	3513.608643
898	3512.376671
899	3510.252075
900	3509.822693
901	3508.23897
902	3506.192169
903	3506.009924
904	3501.833647
905	3500.274477
906	3496.970875
907	3491.338552
908	3489.386878
909	3487.17027
910	3472.573283
911	3469.67942
912	3466.242065
913	3462.65657
914	3460.904208
915	3457.267906
916	3453.251927
917	3448.237163
918	3447.215739
919	3446.406085
920	3445.515405
921	3443.282268
922	3442.072407
923	3441.283293
924	3439.785675
925	3437.93226
926	3434.280543
927	3433.839194
928	3430.550852
929	3429.265851
930	3427.614121
931	3426.236397
932	3423.603888
933	3422.099041
934	3417.325785
935	3414.271292
936	3412.812112
937	3410.527357
938	3409.466219
939	3408.476215
940	3405.891613
941	3404.896321
942	3401.112033
943	3398.334873
944	3393.196566
945	3392.300737
946	3385.605092
947	3384.736714
948	3383.081042
949	3382.90654
950	3381.615848
951	3380.401996
952	3373.985617
953	3371.818435
954	3370.559031
955	3369.444216
956	3366.758662
957	3365.884781
958	3365.090604
959	3363.948911
960	3363.642708
961	3363.149044
962	3357.607992
963	3356.979506
964	3353.418601
965	3350.80188
966	3349.714485
967	3344.595553
968	3343.878502
969	3341.382824
970	3339.541132
971	3338.574281
972	3336.198842
973	3332.726106
974	3331.32663
975	3329.413293
976	3325.079473
977	3322.279712
978	3321.156637
979	3320.818957
980	3319.706349
981	3310.514308
982	3307.383564
983	3305.967706
984	3303.996417
985	3301.973725
986	3300.197635
987	3298.904173
988	3296.130658
989	3296.115854
990	3292.222557
991	3292.085108
992	3288.009917
993	3285.61677
994	3285.604224
995	3284.710462
996	3283.173444
997	3281.182635
998	3279.185502
999	3274.109235
